========================================
Old logs cleaned by monthly scheduler
Cleanup Time: 01-07-2026 10:28:47 AM IST
========================================

2026-07-04 11:29:05 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-04 11:29:05 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-04 11:29:05 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-04 12:49:48 | INFO     | service.py:33 | ===== EMAIL SYSTEM STARTED =====
2026-07-04 12:49:48 | INFO     | service.py:44 | .env file is loaded
2026-07-04 12:49:48 | INFO     | service.py:51 | Calendar.py Module's main_() is Running
2026-07-04 12:49:48 | INFO     | service.py:151 | Todays Festivals is loaded in program.
2026-07-04 12:49:51 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-04 12:49:52 | INFO     | Google_Sheet.py:54 | Data successfully written to data.json
2026-07-04 12:49:52 | INFO     | task02.py:129 | Fetching Data From Database.
2026-07-04 12:49:55 | INFO     | task02.py:106 | >> No new joiners since last run
2026-07-04 12:49:58 | INFO     | task02.py:148 | Nothing to add in Daily-Stats
2026-07-04 12:49:58 | INFO     | task02.py:165 | Adding to Days Login data and Email Send Data.
2026-07-04 12:49:58 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-04 12:49:59 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-04 12:49:59 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-04 12:49:59 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-04 16:00:11 | INFO     | service.py:33 | ===== EMAIL SYSTEM STARTED =====
2026-07-04 16:00:11 | INFO     | service.py:44 | .env file is loaded
2026-07-04 16:00:12 | INFO     | service.py:51 | Calendar.py Module's main_() is Running
2026-07-04 16:00:12 | INFO     | service.py:151 | Todays Festivals is loaded in program.
2026-07-04 16:00:15 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-04 16:00:16 | INFO     | Google_Sheet.py:54 | Data successfully written to data.json
2026-07-04 16:00:16 | INFO     | task02.py:129 | Fetching Data From Database.
2026-07-04 16:00:19 | INFO     | task02.py:106 | >> No new joiners since last run
2026-07-04 16:00:22 | INFO     | task02.py:148 | Nothing to add in Daily-Stats
2026-07-04 16:00:22 | INFO     | task02.py:165 | Adding to Days Login data and Email Send Data.
2026-07-04 16:00:22 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-04 16:00:23 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-04 16:00:23 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-04 16:00:23 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-04 19:36:15 | INFO     | service.py:33 | ===== EMAIL SYSTEM STARTED =====
2026-07-04 19:36:15 | INFO     | service.py:44 | .env file is loaded
2026-07-04 19:36:16 | INFO     | service.py:51 | Calendar.py Module's main_() is Running
2026-07-04 19:36:16 | INFO     | service.py:151 | Todays Festivals is loaded in program.
2026-07-04 19:36:19 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-04 19:36:20 | INFO     | Google_Sheet.py:54 | Data successfully written to data.json
2026-07-04 19:36:20 | INFO     | task02.py:129 | Fetching Data From Database.
